Name,Year Published,Mechanics,Rating Average
Old School Tactical: Volume 2 - West Front 1944/45,2017.0,"Action Points, Dice Rolling, Hexagon Grid","8,52"
Western Empires,2019.0,"Area Majority / Influence, Area Movement, Hand Management, Memory, Set Collection, Take That, Trading, Variable Player Powers","8,52"
TacTiki,2021.0,"Grid Movement, Memory","8,52"
Dominant Species: Marine,2021.0,"Area Majority / Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Phase Order, Worker Placement","8,51"
Chain of Command,2013.0,"Action Points, Dice Rolling, Line of Sight, Movement Template, Simulation, Variable Player Powers","8,51"
Gaslands: Refuelled,2019.0,"Dice Rolling, Impulse Movement, Movement Template, Push Your Luck, Variable Player Powers","8,51"
Longstreet Attacks: The Second Day at Gettysburg,2018.0,"Chit-Pull System, Dice Rolling, Hexagon Grid, Line of Sight, Movement Points","8,51"
Sanctuary: The Keepers Era,2021.0,"Hand Management, Take That","8,51"
The Battles of Mollwitz 1741 and Chotusitz 1742,2017.0,"Dice Rolling, Hexagon Grid, Simulation","8,51"
Sinners,2019.0,"Hand Management, Set Collection, Take That","8,51"
Limbo: Eternal War,2019.0,"Dice Rolling, Hand Management","8,51"
The Detective Society,2020.0,"Deduction, Narrative Choice / Paragraph, Storytelling","8,50"
Heroes & Treasure,2018.0,"Cooperative Game, Modular Board, Role Playing","8,50"
Uprising: Curse of the Last Emperor,2021.0,"Action Points, Area Majority / Influence, Cooperative Game, Dice Rolling, Modular Board, Variable Player Powers","8,50"
Gatefall,2020.0,"Action Points, Action Queue, Deck Bag and Pool Building, Dice Rolling, Variable Player Powers","8,50"
